date,Open,High,Low,Close,Volume,Ticker
2025-10-01 09:16:00,2.5950,2.5950,2.5900,2.5900,2030.0000,AIHS
2025-10-01 09:15:00,2.5850,2.6099,2.5850,2.5875,4636.0000,AIHS
2025-10-01 09:14:00,2.5800,2.5900,2.5800,2.5900,3702.0000,AIHS
2025-10-01 09:13:00,2.6000,2.6000,2.5997,2.5997,704.0000,AIHS
2025-10-01 09:12:00,2.6000,2.6200,2.6000,2.6000,5342.0000,AIHS
2025-10-01 09:11:00,2.6100,2.6100,2.6001,2.6049,856.0000,AIHS
2025-10-01 09:10:00,2.6000,2.6200,2.6000,2.6109,3581.0000,AIHS
2025-10-01 09:09:00,2.6288,2.6288,2.6000,2.6000,2870.0000,AIHS
2025-10-01 09:08:00,2.6100,2.6400,2.6100,2.6300,9332.0000,AIHS
2025-10-01 09:07:00,2.6181,2.6181,2.6181,2.6181,249.0000,AIHS
2025-10-01 09:06:00,2.6100,2.6100,2.6100,2.6100,641.0000,AIHS
2025-10-01 09:05:00,2.6300,2.6300,2.6105,2.6300,2036.0000,AIHS
2025-10-01 09:04:00,2.5800,2.6300,2.5700,2.6200,3048.0000,AIHS
2025-10-01 09:03:00,2.5619,2.5700,2.5600,2.5700,2992.0000,AIHS
2025-10-01 09:02:00,2.5600,2.5650,2.5600,2.5650,1614.0000,AIHS
2025-10-01 09:01:00,2.5800,2.5898,2.5700,2.5700,5512.0000,AIHS
2025-10-01 09:00:00,2.6000,2.6001,2.5600,2.5899,26754.0000,AIHS
2025-10-01 08:59:00,2.5861,2.6247,2.5800,2.6214,4884.0000,AIHS
2025-10-01 08:58:00,2.6150,2.6313,2.5800,2.5815,29356.0000,AIHS
2025-10-01 08:57:00,2.6090,2.6500,2.5950,2.6201,33196.0000,AIHS
2025-10-01 08:56:00,2.5701,2.6200,2.5701,2.6000,41855.0000,AIHS
2025-10-01 08:55:00,2.5774,2.5870,2.5774,2.5787,1787.0000,AIHS
2025-10-01 08:54:00,2.5700,2.5700,2.5700,2.5700,2198.0000,AIHS
2025-10-01 08:53:00,2.5886,2.5886,2.5691,2.5700,2010.0000,AIHS
2025-10-01 08:52:00,2.5663,2.5971,2.5600,2.5870,23710.0000,AIHS
2025-10-01 08:51:00,2.6000,2.6000,2.5500,2.5687,7037.0000,AIHS
2025-10-01 08:50:00,2.5609,2.5900,2.5609,2.5900,771.0000,AIHS
2025-10-01 08:49:00,2.5450,2.5600,2.5450,2.5600,1736.0000,AIHS
2025-10-01 08:48:00,2.5435,2.5500,2.5301,2.5500,5358.0000,AIHS
2025-10-01 08:47:00,2.5591,2.5591,2.5360,2.5360,13544.0000,AIHS
2025-10-01 08:46:00,2.5691,2.5691,2.5509,2.5509,926.0000,AIHS
2025-10-01 08:45:00,2.5599,2.5599,2.5599,2.5599,295.0000,AIHS
2025-10-01 08:44:00,2.6000,2.6000,2.5100,2.5500,17950.0000,AIHS
2025-10-01 08:43:00,2.5224,2.6300,2.5150,2.5900,53608.0000,AIHS
2025-10-01 08:42:00,2.5200,2.5300,2.5190,2.5264,5583.0000,AIHS
2025-10-01 08:41:00,2.5150,2.5199,2.5109,2.5199,1031.0000,AIHS
2025-10-01 08:40:00,2.5100,2.5200,2.5100,2.5109,3642.0000,AIHS
2025-10-01 08:39:00,2.5000,2.5100,2.4948,2.4948,3932.0000,AIHS
2025-10-01 08:38:00,2.5099,2.5100,2.4900,2.5100,8362.0000,AIHS
2025-10-01 08:37:00,2.5025,2.5050,2.5025,2.5050,699.0000,AIHS
2025-10-01 08:36:00,2.4997,2.5100,2.4800,2.5099,9018.0000,AIHS
